Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
Eaton Corp plc,2018,-,2658000000,7590000000,5154000000,2424000000,3168000000,2785000000,6768000000,2145000000,3467000000,2966000000,584000000,3548000000,16107000000,31092000000,14985000000,21609000000
eBay Inc.,2018,1400000000,2658000000,7126000000,4454000000,2718000000,3560000000,-,7685000000,2530000000,1597000000,2222000000,1285000000,4522000000,6281000000,22819000000,16538000000,10746000000
Ecolab Inc,2018,-,2277700000,4677700000,3685600000,1804600000,2647900000,1546400000,6301600000,1429100000,3836000000,1947000000,216000000,3968600000,8003200000,20074500000,12071300000,14668200000
Edison International,2018,-,3177000000,3359000000,5395000000,-1089000000,1271000000,282000000,14632000000,-423000000,41348000000,-552000000,-,0,10459000000,56715000000,46256000000,12657000000
Edwards Lifesciences Corp,2018,-,926800000,2286900000,876600000,761400000,834200000,607000000,593800000,722200000,867500000,748200000,622200000,1088500000,3140400000,5323700000,2183300000,3722800000
"Electronic Arts, Inc.",2018,261000000,1692000000,6004000000,2491000000,1449000000,1572000000,-,992000000,1043000000,453000000,1434000000,1320000000,1110000000,4595000000,8584000000,3989000000,5150000000
Emerson Electric Co.,2018,-,2892000000,6619000000,6164000000,2667000000,3481000000,1813000000,3137000000,2203000000,3562000000,2826000000,436000000,4258000000,8947000000,20390000000,11443000000,17408000000
Enphase Energy Inc.,2018,-,16132000,222302000,147161000,-10229000,7706000,16267000,81628000,-11627000,20998000,1596000,32587000,56133000,7776000,339937000,332161000,316159000
Entergy Corp,2018,-,2385247000,2958064000,5443544000,-174271000,2509768000,870147000,15538681000,862555000,31974446000,469365000,-,0,9063707000,48275066000,39211359000,11009452000
"EOG Resources, Inc.",2018,-,7768608000,5057390000,3728364000,4240998000,7921458000,859359000,5170169000,3419040000,28075519000,4469346000,-,5630212000,19364188000,33934474000,14570286000,17275399000
Equifax Inc,2018,43100000,672200000,902300000,826800000,356300000,775700000,-,2630600000,299800000,764800000,448000000,-,1213300000,3107800000,7153200000,4045400000,3412100000
Equinix Inc,2018,-,1815426000,1515682000,1515071000,433038000,2167539000,-,10880525000,365359000,11026020000,971370000,-,1460396000,7219279000,20244638000,13025359000,5071654000
Equity Residential,2018,-,1356295000,116313000,438952000,431940000,1631410000,-,8817939000,657535000,-,858560000,-,53813000,10173204000,20394209000,10221005000,2578434000
Essex Property Trust Inc,2018,-,826554000,432835000,314960000,324467000,981609000,-,5605942000,390153000,-,450128000,-,84513000,6267073000,12383596000,6116523000,1400053000
Etsy Inc,2018,129100000,198925000,680289000,112062000,55078000,92299000,-,338572000,77491000,120179000,74786000,97249000,240896000,400898000,901851000,500953000,603693000
Everest Re Group Ltd,2018,-,610069000,-,-,-226471000,-,-,-,103552000,-,-,-,-,7903804000,24793999000,16890195000,7377206000
Evergy Inc,2018,-,1497800000,1681000000,2867200000,599600000,1447100000,511000000,6687400000,535800000,18951700000,933600000,-,0,10028200000,25598100000,15569900000,4275900000
Eversource Energy,2018,-,1783978000,2292224000,4112882000,1329491000,2648226000,238042000,12832031000,1033000000,25610428000,1699930000,-,472380000,11486817000,38241256000,26754396000,8448201000
Exelon Corp,2018,-,8644000000,13360000000,11404000000,2232000000,9689000000,1685000000,34465000000,2010000000,76707000000,3842000000,-,0,30764000000,119666000000.00,88902000000,35985000000
Expedia Group Inc,2018,-,1975000000,5197000000,8060000000,596000000,1716000000,-,3717000000,406000000,1877000000,714000000,-,6575000000,4104000000,18033000000,13929000000,11223000000
"Expeditors International of Washington, Inc.",2018,-,572804000,2734816000,1326839000,818329000,853195000,-,-,618199000,504105000,796563000,-,1591418000,1986838000,3314559000,1327721000,8138365000
Extra Space Storage Inc,2018,16153000,677795000,72690000,182461000,441872000,822733000,-,4730515000,415289000,-,588896000,-,81256000,2413724000,7847978000,5434254000,1196604000
Exxon Mobil Corp,2018,-,36014000000,47973000000,57138000000,30953000000,50464000000,18958000000,20538000000,20840000000,247101000000.00,31719000000,1116000000,45428000000,191794000000.00,346196000000.00,154402000000.00,290212000000.00
"F5 Networks, Inc.",2018,4600000,761068000,1417658000,954433000,603760000,663251000,30568000,-,453689000,145042000,590899000,366084000,824517000,1285492000,2605476000,1319984000,2161407000
Facebook Inc,2018,1100000000,29274000000,50480000000,7017000000,25361000000,28389000000,-,-,22112000000,24683000000,24913000000,10273000000,11297000000,84127000000,97334000000,13207000000,55838000000
Fastenal Co.,2018,-,674200000,2316200000,437400000,987000000,1137400000,1278700000,497000000,751900000,924800000,998700000,-,1400200000,2302700000,3321500000,1018800000,4965100000
Federal Realty Investment Trust (MD),2018,-,516688000,236753000,274004000,240509000,593966000,-,3229204000,241907000,-,349721000,-,33600000,2345891000,6289644000,3943753000,915436000
FedEx Corp,2018,442000000,4674000000,13341000000,9627000000,4353000000,7958000000,525000000,15243000000,4572000000,28154000000,4870000000,-,23197000000,19416000000,52330000000,32914000000,65450000000
Fidelity National Information Services Inc,2018,-,1993000000,3733000000,3125000000,1104000000,1585000000,-,8670000000,846000000,587000000,1458000000,-,1301000000,10215000000,23770000000,13555000000,8423000000
"Fifth Third Bancorp (Cincinnati, OH)",2018,-,2856000000,-,-,2765000000,-,-,-,2193000000,1861000000,-,-,-,16250000000,146069000000.00,129819000000.00,7973000000
"First Republic Bank (San Francisco, CA)",2018,-,1111204000,-,-,1051742000,-,-,-,853828000,332483000,-,-,-,8677777000,99205204000,90527427000,3575051000
FirstEnergy Corp,2018,-,1410000000,2392000000,4634000000,1512000000,3699000000,252000000,17751000000,1348000000,29911000000,2502000000,-,0,6814000000,40063000000,33249000000,11261000000
Fiserv Inc,2018,-,1552000000,2224000000,2010000000,1555000000,2003000000,-,5955000000,1187000000,398000000,1526000000,-,1228000000,2293000000,11262000000,8969000000,5823000000
FleetCor Technologies Inc,2018,26300000,903382000,3875986000,4495213000,1102272000,1509996000,-,2748431000,811483000,186201000,1090698000,-,1059460000,3340180000,11202477000,7862297000,2433492000
FMC Corp.,2018,-,368400000,4030200000,2993400000,743600000,965600000,1097300000,2179000000,502100000,1032600000,880500000,291500000,851200000,3121100000,9974300000,6853200000,4727800000
Ford Motor Co. (DE),2018,4000000000,15022000000,114649000000.00,95569000000,4222000000,10163000000,11220000000,100720000000.00,3677000000,36178000000,3203000000,8200000000,11403000000,35932000000,256540000000.00,220608000000.00,160338000000.00
Fortinet Inc,2018,-,638900000,2220900000,1256400000,250900000,271100000,90000000,-,332200000,271400000,231000000,244500000,875300000,1010200000,3078000000,2067800000,1801200000
Fortive Corp,2018,-,1344400000,3171200000,2192100000,1078400000,1301100000,574500000,2974700000,2913800000,576100000,1178400000,414300000,1728600000,6595500000,12905600000,6310100000,6452700000
"Fortune Brands Home & Security, Inc.",2018,233200000,604000000,1686100000,1492100000,537000000,761100000,678900000,1809000000,389600000,813400000,595200000,50700000,1241400000,2178200000,5964600000,3786400000,5485100000
Fox Corp,2018,392000000,1317000000,5580000000,1759000000,2170000000,2370000000,1180000000,-,2187000000,1169000000,2268000000,-,1209000000,9594000000,13121000000,3527000000,10153000000
Franklin Resources Inc,2018,-,2229700000,7758500000,2092900000,2170800000,2221900000,-,728500000,764400000,535000000,2118600000,-,1916900000,9899200000,14383500000,4484300000,6319100000
Freeport-McMoRan Inc,2018,-,3863000000,10720000000,3329000000,3892000000,6591000000,4759000000,11124000000,2602000000,28010000000,4546000000,105000000,443000000,9798000000,42216000000,32418000000,18628000000
Gallagher (Arthur J.) & Co.,2018,-,765100000,8118700000,7693600000,479400000,607200000,-,3091400000,633500000,436900000,479400000,-,3026300000,4498900000,16334000000,11835100000,6934000000
Garmin Ltd,2018,155394000,919520000,2665368000,921313000,823247000,840898000,561840000,-,694080000,663527000,778343000,567805000,633571000,4162974000,5382858000,1219884000,3347444000
Gartner Inc,2018,-,471158000,1811739000,2620935000,181121000,560938000,-,2116109000,122456000,267665000,259715000,-,1884141000,850757000,6201474000,5350717000,3975454000
Generac Holdings Inc,2018,34792000,247227000,1120769000,560706000,311076000,399440000,544750000,876396000,238257000,278929000,357181000,50019000,295728000,760549000,2426314000,1665765000,2023464000
General Dynamics Corp,2018,-,3148000000,18189000000,14739000000,4085000000,5204000000,5977000000,11444000000,3345000000,4348000000,4457000000,502000000,2258000000,11732000000,45408000000,33676000000,36193000000
General Electric Co,2018,-,4246000000,108000000000.00,69211000000,-20134000000,-4762000000,19271000000,95234000000,-22355000000,50749000000,-17334000000,4134000000,18111000000,30981000000,309129000000.00,278148000000.00,121615000000.00
General Mills Inc,2018,-,2841000000,4123700000,7341900000,2135600000,3128100000,1642200000,12668700000,2131000000,4047200000,2509300000,219000000,2752600000,6141100000,30624000000,24482900000,15740400000
General Motors Co,2018,4000000000,15256000000,75293000000,82237000000,6386000000,17292000000,9816000000,73060000000,8014000000,38758000000,4445000000,7800000000,9650000000,38860000000,227339000000.00,188479000000.00,147049000000.00
Genuine Parts Co.,2018,204700000,1145164000,7575690000,5900733000,1075612000,1419172000,3609389000,2432133000,810474000,1027231000,1109715000,-,4615290000,3450451000,12683040000,9232589000,18735073000
Gilead Sciences Inc,2018,587000000,8400000000,35836000000,10605000000,7799000000,9102000000,814000000,24574000000,5455000000,4006000000,8200000000,5018000000,4056000000,21387000000,63675000000,42288000000,22127000000
Global Payments Inc,2018,-,1106082000,3376208000,3268620000,562155000,1114740000,-,5015168000,452053000,653542000,737055000,-,1534297000,3991407000,13230774000,9239367000,3366366000
Globe Life Inc,2018,-,1277647000,-,-,863671000,-,-,-,701466000,-,-,-,-,5415177000,23095722000,17680545000,4303751000
Goldman Sachs Group Inc,2018,-,20421000000,-,-,12481000000,-,-,-,10459000000,18317000000,-,-,-,90185000000,931796000000.00,841611000000.00,52528000000
Grainger (W.W.) Inc.,2018,76000000,1057000000,3557000000,1501000000,1100000000,1344000000,1541000000,2090000000,782000000,1352000000,1158000000,-,3190000000,1921000000,5873000000,3952000000,11221000000
Halliburton Company,2018,-,3157000000,11151000000,4802000000,1814000000,3974000000,3028000000,10421000000,1656000000,8961000000,2467000000,390000000,254000000,9522000000,25982000000,16460000000,23995000000
HanesBrands Inc,2018,152670000,643402000,3517589000,2030242000,646881000,973352000,2054458000,3534183000,553084000,607688000,867951000,59313000,1788568000,970283000,7255958000,6285675000,6803955000
Hartford Financial Services Group Inc.,2018,-,2843000000,-,-,1753000000,-,-,-,1807000000,1006000000,-,-,-,13101000000,62307000000,49206000000,18955000000
"Hasbro, Inc.",2018,-,645997000,3082504000,1274324000,270402000,506829000,443383000,1695092000,220434000,256473000,331052000,246165000,1727482000,1754486000,5262988000,3508502000,4579646000
HCA Healthcare Inc,2018,-,6761000000,10213000000,7569000000,5306000000,9323000000,1732000000,32033000000,3787000000,19757000000,6633000000,-,29149000000,-4950000000,39207000000,44157000000,46677000000
Healthpeak Properties Inc,2018,-,848709000,188017000,446246000,1058214000,1903231000,-,5567908000,1061093000,-,429418000,-,96702000,5944439000,12718553000,6774114000,1846689000
Hershey Company (The),2018,479908000,1599993000,2239181000,2418566000,1410061000,1779910000,784879000,3254280000,1177562000,2130294000,1623664000,38521000,1874829000,1398721000,7703020000,6304299000,7791069000
Hess Corp,2018,-,1939000000,4459000000,2203000000,220000000,2502000000,245000000,6605000000,-282000000,16083000000,619000000,-,473000000,9629000000,21433000000,11804000000,6466000000
Hewlett Packard Enterprise Co,2018,193000000,2964000000,17272000000,17198000000,230000000,3376000000,2447000000,10136000000,1908000000,6138000000,2136000000,1663000000,4851000000,21239000000,55493000000,34254000000,30852000000
Hilton Worldwide Holdings Inc,2018,-,1255000000,1983000000,2615000000,1078000000,1503000000,-,7266000000,764000000,367000000,1432000000,-,443000000,551000000,13995000000,13444000000,8906000000
Hologic Inc,2018,26900000,732900000,1723200000,1402600000,-418600000,204100000,384100000,2725500000,-111300000,478200000,-237900000,218700000,910700000,2428800000,7230900000,4802100000,3217900000
Home Depot Inc,2018,955000000,12031000000,18933000000,16194000000,13698000000,16743000000,12748000000,24267000000,8630000000,22075000000,14681000000,-,17864000000,1454000000,44529000000,43075000000,100904000000.00
Honeywell International Inc,2018,-,6434000000,24362000000,18924000000,7437000000,8308000000,4326000000,9756000000,6765000000,5296000000,6705000000,1809000000,6051000000,18187000000,57773000000,39586000000,41802000000
Hormel Foods Corp.,2018,151500000,1241729000,2050100000,1138914000,1122312000,1314460000,963527000,624840000,1012140000,1512600000,1139949000,33800000,838205000,5600811000,8142292000,2541481000,9545700000
Horton (DR) Inc,2018,44100000,545200000,12074200000,1270800000,2057200000,2115400000,10395000000,3203500000,1460300000,401100000,2038400000,-,1676800000,8984400000,14114600000,5130200000,16068000000
Host Hotels & Resorts Inc,2018,-,1300000000,1542000000,293000000,1271000000,2383000000,-,3837000000,1087000000,-,530000000,-,-,7494000000,12090000000,4596000000,5524000000
Howmet Aerospace Inc,2018,-,217000000,6581000000,3520000000,868000000,1799000000,2492000000,5896000000,642000000,5704000000,1325000000,103000000,604000000,5573000000,18693000000,13120000000,14014000000
HP Inc,2018,568000000,4528000000,21387000000,25131000000,3013000000,3853000000,6062000000,4524000000,5327000000,2198000000,4064000000,1404000000,4866000000,-639000000,34622000000,35261000000,58472000000
Humana Inc.,2018,-,2173000000,-,-,2063000000,-,-,-,1683000000,1735000000,-,-,-,10161000000,25413000000,15252000000,56912000000
"Hunt (J.B.) Transport Services, Inc.",2018,-,1087841000,1502981000,1352348000,640818000,689621000,21977000,898400000,489585000,3445111000,681021000,-,2300880000,2101384000,5091647000,2990263000,8614874000
Huntington Bancshares Inc,2018,-,1726000000,-,-,1628000000,-,-,-,1393000000,790000000,-,-,-,11102000000,108781000000.00,97679000000,5270000000
"Huntington Ingalls Industries, Inc.",2018,-,914000000,1745000000,1829000000,971000000,1232000000,128000000,1283000000,836000000,2517000000,951000000,-,871000000,1516000000,6383000000,4867000000,8176000000
IDEX Corporation,2018,17000000,479345000,1092532000,364661000,528939000,611568000,279995000,848335000,410573000,281220000,569088000,48000000,536724000,1994640000,3473857000,1479217000,2483666000
"Idexx Laboratories, Inc.",2018,1800000,400084000,654172000,770444000,457742000,565543000,173303000,601348000,377031000,437270000,491335000,117863000,632344000,-9513000,1537349000,1546862000,2213242000
IHS Markit Ltd,2018,59700000,1289500000,1099400000,2320300000,424300000,822000000,-,4889200000,542300000,579600000,646900000,-,1187200000,8020500000,16062300000,8041800000,4009200000
"Illinois Tool Works, Inc.",2018,50000000,2811000000,5778000000,3542000000,3394000000,4077000000,1318000000,6029000000,2563000000,1791000000,3584000000,233000000,2391000000,3254000000,14870000000,11616000000,14768000000
Illumina Inc,2018,38000000,1142000000,4490000000,1804000000,894000000,1086000000,386000000,890000000,826000000,1075000000,883000000,623000000,794000000,3758000000,6959000000,3201000000,3333000000
Incyte Corporation,2018,-,336227000,1832254000,425277000,115347000,149190000,6967000,17434000,109493000,319751000,129223000,1197957000,434407000,1925967000,2645762000,719795000,1881883000
Ingersoll Rand Inc,2018,-,444500000,1331200000,596400000,349500000,629500000,523900000,1664200000,269400000,356600000,443000000,24000000,434600000,1676000000,4487100000,2811100000,2689800000
Intel Corp,2018,1200000000,29432000000,28787000000,16626000000,23317000000,32276000000,7253000000,25098000000,21053000000,48976000000,23316000000,13543000000,6750000000,74982000000,127963000000.00,52981000000,70848000000
Intercontinental Exchange Inc,2018,-,2533000000,66692000000,66108000000,2520000000,3035000000,-,6490000000,1988000000,1241000000,2583000000,-,1776000000,17201000000,92791000000,75590000000,6276000000
International Business Machines Corp,2018,1466000000,15247000000,49146000000,38227000000,11342000000,16281000000,1682000000,35605000000,8728000000,10792000000,12192000000,5379000000,18265000000,16796000000,123382000000.00,106586000000.00,79591000000
International Flavors & Fragrances Inc.,2018,-,437575000,2941860000,1128311000,447757000,745294000,1078537000,4504417000,337302000,1241152000,582705000,311583000,707461000,6032951000,12889395000,6856444000,3977539000
International Paper Co,2018,-,3226000000,6996000000,4694000000,1781000000,3517000000,2241000000,10015000000,2012000000,13067000000,2933000000,-,3290000000,7362000000,33576000000,26214000000,23306000000
Interpublic Group of Companies Inc.,2018,-,565100000,8182900000,8123900000,838000000,1104500000,-,3660200000,618900000,790900000,1008800000,-,166500000,2393200000,15620300000,13227100000,9714400000
Intuit Inc,2018,615000000,2112000000,2404000000,2116000000,1503000000,1750000000,-,388000000,1211000000,812000000,1497000000,1186000000,2298000000,2354000000,5178000000,2824000000,5964000000
Intuitive Surgical Inc,2018,-,1169600000,4333200000,820600000,1279500000,1319500000,409000000,-,1127900000,812000000,1199400000,418100000,986600000,6678800000,7846700000,1167900000,3724200000
Invesco Ltd,2018,35200000,828800000,20923300000,1733700000,1104300000,1306900000,-,7634800000,882800000,468700000,1204900000,-,2364100000,8578800000,30978400000,22399600000,5314100000
IPG Photonics Corp,2018,-,393301000,1805424000,245774000,534395000,593569000,403579000,41707000,404027000,543068000,523405000,122769000,160244000,2205548000,2574450000,368902000,1459874000
IQVIA Holdings Inc,2018,-,1254000000,3874000000,3534000000,328000000,859000000,-,10907000000,259000000,434000000,741000000,-,1716000000,6714000000,22549000000,15835000000,10412000000
Iron Mountain Inc (New),2018,-,935549000,1208114000,1462678000,357911000,1219940000,-,8016417000,363351000,4489557000,745690000,-,1038975000,1884180000,11852247000,9968067000,4225761000
"Jack Henry & Associates, Inc.",2018,-,412142000,468536000,487896000,391024000,440344000,-,-,376660000,286850000,390475000,90340000,182146000,1266828000,2050303000,783475000,1536603000
"Jacobs Engineering Group, Inc.",2018,-,481152000,4556584000,3145693000,554705000,821068000,-,2146877000,163431000,457706000,647971000,-,2180399000,5854345000,12645795000,6791450000,14984646000
Johnson & Johnson,2018,2600000000,22201000000,46033000000,31230000000,17999000000,20993000000,8599000000,27684000000,15297000000,17035000000,19798000000,11901000000,22540000000,59752000000,152954000000.00,93202000000,81581000000
Johnson Controls International plc,2018,-,2513000000,11823000000,11250000000,2901000000,4394000000,3224000000,9654000000,2162000000,6171000000,3107000000,-,6010000000,21164000000,48797000000,27633000000,31400000000
JPMorgan Chase & Co,2018,-,14187000000,-,-,40764000000,-,-,-,32474000000,14934000000,-,-,-,256515000000.00,2622532000000.00,2366017000000.00,131412000000.00
Juniper Networks Inc,2018,20000000,861100000,4581800000,1842500000,532700000,756400000,-,1789100000,566900000,951700000,572200000,1003200000,1158500000,4823200000,9363300000,4540100000,4647500000
Kansas City Southern,2018,-,945700000,635400000,447000000,884300000,1341000000,160300000,2679300000,627400000,8691100000,986300000,-,495700000,4813000000,9469800000,4656800000,2714000000
Kellogg Co,2018,752000000,1536000000,3157000000,4529000000,1329000000,2132000000,1330000000,8207000000,1336000000,3731000000,1706000000,154000000,3020000000,2601000000,17780000000,15179000000,13547000000
KeyCorp,2018,-,2506000000,-,-,2203000000,-,-,-,1866000000,882000000,-,-,-,15595000000,139613000000.00,124018000000.00,7393000000
Keysight Technologies Inc,2018,21000000,555000000,2378000000,1462000000,-411000000,-237000000,619000000,1291000000,165000000,555000000,-346000000,607000000,1185000000,2433000000,5824000000,3391000000,3878000000
Kimberly-Clark Corp.,2018,655000000,2970000000,5041000000,6536000000,1813000000,2948000000,1813000000,6247000000,1410000000,7159000000,2229000000,317000000,3367000000,-223000000,14518000000,14741000000,18486000000
Kimco Realty Corp,2018,-,637936000,338411000,305165000,399346000,893065000,-,4873872000,497795000,-,582406000,-,87797000,5333804000,10999100000,5665296000,1164762000
Kinder Morgan Inc.,2018,-,5043000000,5722000000,7557000000,1619000000,5593000000,385000000,33936000000,1609000000,37897000000,3794000000,-,601000000,33678000000,78866000000,45188000000,14144000000
KLA Corp,2018,-,1229120000,4549000000,1218083000,1455931000,1586738000,931845000,2237402000,802265000,286306000,1537194000,608712000,443426000,1620511000,5619356000,3998845000,4036701000
Kraft Heinz Co (The),2018,584000000,2574000000,9075000000,7503000000,-11321000000,-9393000000,2667000000,30770000000,-10192000000,7078000000,-10220000000,109000000,3205000000,51657000000,103461000000.00,51804000000,26268000000
Kroger Co (The),2018,707000000,3413000000,11117000000,14197000000,1484000000,4521000000,6533000000,12029000000,1907000000,21071000000,2085000000,-,22479000000,6931000000,37197000000,30266000000,122662000000.00
L3Harris Technologies Inc,2018,-,751000000,2223000000,1788000000,926000000,1237000000,925000000,3408000000,718000000,900000000,1122000000,311000000,1129000000,3322000000,9839000000,6517000000,6182000000
Laboratory Corporation of America Holdings,2018,-,1305400000,2835400000,1878900000,1256700000,1812400000,237300000,6041900000,883700000,1784700000,1325700000,-,1570900000,6971400000,16185300000,9213900000,11333400000
Lam Research Corp,2018,-,2655747000,9149911000,3150308000,3151789000,3328563000,1876162000,1806562000,2380681000,902547000,3213299000,1189514000,762219000,6580043000,12479478000,5899435000,11076998000
Lamb Weston Holdings Inc,2018,31600000,481200000,930400000,518700000,471300000,716400000,549700000,2336700000,416800000,1420800000,580100000,13500000,299400000,-334800000,2752600000,3087400000,3423700000
Las Vegas Sands Corp,2018,132000000,4701000000,5566000000,3157000000,3326000000,4889000000,35000000,11874000000,2413000000,15154000000,3901000000,12000000,1685000000,5684000000,22547000000,16863000000,13729000000
"Lauder (Estee) Cos., Inc. (The)",2018,3287000000,2573000000,6168000000,3310000000,1980000000,2521000000,1618000000,3361000000,1108000000,1823000000,2052000000,181000000,8556000000,4688000000,12567000000,7879000000,13683000000
"Leggett & Platt, Inc.",2018,-,440300000,1524600000,815700000,384400000,561700000,633900000,1167800000,305900000,728500000,435000000,-,425100000,1157000000,3382000000,2225000000,4269500000
Leidos Holdings Inc,2018,-,768000000,2839000000,2059000000,592000000,785000000,-,3052000000,581000000,237000000,731000000,46000000,729000000,3308000000,8770000000,5462000000,10194000000
Lennar Corp,2018,72100000,1711609000,19193787000,1154782000,2277461000,2345098000,17068704000,8543868000,1695831000,-,1837271000,-,343934000,14581535000,28566181000,13984646000,20571631000
Lilly (Eli) & Co,2018,-,5524500000,20549600000,11888100000,3795700000,4786100000,4111800000,11639700000,3232000000,8919500000,3664400000,7291000000,6631800000,9828700000,43908400000,34079700000,24555700000
Lincoln National Corp.,2018,-,1943000000,-,-,1885000000,-,-,-,1641000000,-,-,-,-,14350000000,298147000000.00,283797000000.00,16424000000
Linde plc,2018,-,3654000000,17272000000,12956000000,5049000000,7081000000,1651000000,12288000000,4381000000,29717000000,1947000000,113000000,1636000000,51596000000,93386000000,41790000000,14900000000
Live Nation Entertainment Inc,2018,474100000,941586000,3848074000,3749866000,128358000,443278000,12575000,2732878000,60249000,946593000,282905000,-,2150434000,1098981000,8496886000,7397905000,10787800000
LKQ Corp,2018,-,710739000,4520949000,1690348000,743431000,1020941000,2836075000,4188674000,480118000,1220162000,882241000,-,3352731000,4782298000,11393402000,6611104000,11876674000
Lockheed Martin Corp,2018,-,3138000000,16103000000,14398000000,5838000000,7667000000,2997000000,12604000000,5046000000,6124000000,7334000000,1300000000,-,1394000000,44876000000,43482000000,53762000000
Loews Corp.,2018,-,4222000000,-,-,834000000,-,-,-,636000000,15511000000,-,-,-,18518000000,78316000000,59798000000,14066000000
Lowe's Companies Inc,2018,968000000,5065000000,12772000000,12096000000,5489000000,7522000000,11393000000,15564000000,3447000000,19721000000,6586000000,-,15376000000,5873000000,35291000000,29418000000,68619000000
Lumen Technologies Inc,2018,98000000,7032000000,3820000000,5531000000,-1563000000,3953000000,-,35409000000,-1733000000,26408000000,570000000,-,4165000000,19828000000,70256000000,50428000000,23443000000
LyondellBasell Industries NV,2018,-,5471000000,10566000000,5513000000,5022000000,6592000000,4515000000,8497000000,4690000000,12477000000,5231000000,115000000,1129000000,10373000000,28278000000,17905000000,39004000000
M & T Bank Corp,2018,-,2089852000,-,-,2508240000,-,-,-,1918080000,647408000,-,-,-,15460191000,120097403000.00,104637212000.00,6454711000
Marathon Oil Corp.,2018,-,3234000000,2921000000,1832000000,1427000000,4116000000,96000000,5499000000,1096000000,16804000000,1667000000,-,394000000,12128000000,21321000000,9193000000,6582000000
Marathon Petroleum Corp.,2018,-,6158000000,18023000000,13216000000,4568000000,7917000000,9837000000,26980000000,2780000000,45058000000,5571000000,-,2418000000,35175000000,92940000000,57765000000,97102000000
MarketAxess Holdings Inc.,2018,-,223917000,543962000,87661000,218086000,241166000,-,-,172852000,63010000,212584000,-,168281000,607878000,695539000,87661000,435565000
"Marriott International, Inc.",2018,660000000,2357000000,2706000000,6437000000,2242000000,2816000000,-,8514000000,1907000000,1956000000,2366000000,-,927000000,2225000000,23696000000,21471000000,20758000000
Marsh & McLennan Companies Inc.,2018,-,2428000000,5934000000,4924000000,2244000000,2706000000,-,5510000000,1650000000,701000000,2761000000,-,8605000000,7511000000,21578000000,14067000000,14950000000
"Martin Marietta Materials, Inc.",2018,-,705148000,1365816000,786750000,576081000,1039249000,663035000,2730439000,469998000,5157229000,690737000,-,280554000,4946363000,9551419000,4605056000,4244265000
Masco Corp.,2018,-,1032000000,2766000000,1684000000,1042000000,1330000000,946000000,2971000000,734000000,1223000000,1211000000,-,1478000000,-111000000,5393000000,5504000000,8359000000
Mastercard Inc,2018,-,6223000000,16171000000,11593000000,7204000000,7599000000,-,5834000000,5859000000,921000000,7282000000,-,6081000000,5395000000,24860000000,19465000000,14950000000
Match Group Inc (New),2018,1200000000,988128000,2762739000,883558000,761558000,1054644000,-,2245548000,626961000,318800000,565139000,309329000,2293519000,2843125000,6874585000,4031460000,4262892000
McCormick & Co Inc,2018,147200000,821200000,1479900000,2001700000,741300000,1066600000,786300000,4052900000,933400000,985100000,903300000,69400000,1429500000,3170900000,10256400000,7085500000,5408900000
McDonald's Corp,2018,388800000,6966700000,4053200000,2973500000,7664600000,9948700000,51100000,31075300000,5924300000,22842700000,8367000000,-,4173500000,-6258400000,32811200000,39069600000,21025200000
McKesson Corp,2018,-,4345000000,37136000000,36685000000,207000000,745000000,16310000000,6751000000,67000000,2464000000,616000000,125000000,8138000000,9804000000,60381000000,50577000000,208357000000.00
Medtronic PLC,2018,-,4684000000,22980000000,10084000000,5675000000,9068000000,3579000000,23699000000,3104000000,4604000000,5954000000,2253000000,9974000000,50720000000,91393000000,40673000000,29953000000
Merck & Co Inc,2018,2100000000,10922000000,25875000000,22206000000,8701000000,10530000000,5440000000,19806000000,6220000000,13291000000,8299000000,9752000000,10102000000,26701000000,82637000000,55936000000,42294000000
MetLife Inc,2018,-,11738000000,-,-,6307000000,-,-,-,5123000000,-,-,-,-,52741000000,687538000000.00,634797000000.00,67941000000
"Mettler-Toledo International, Inc.",2018,-,565005000,1045860000,734434000,651858000,723536000,268821000,985021000,512611000,717526000,664561000,141071000,812802000,590063000,2618847000,2028784000,2935586000
MGM Resorts International,2018,305000000,1722539000,2526778000,2948882000,534143000,2522802000,110831000,15088005000,466772000,20729888000,1330943000,-,2183842000,6512283000,30210706000,23698423000,11763096000
Microchip Technology Inc,2018,-,1419600000,3356300000,2017400000,737300000,1523500000,476200000,1758400000,255400000,767900000,936300000,529300000,452100000,3279800000,8257200000,4977400000,3980800000
Micron Technology Inc.,2018,-,17400000000,16039000000,5754000000,14307000000,19189000000,3595000000,3777000000,14135000000,23672000000,14898000000,2141000000,813000000,32294000000,43376000000,11082000000,30391000000
Microsoft Corporation,2018,-,43884000000,169662000000.00,58488000000,36474000000,44693000000,2662000000,72242000000,16571000000,29460000000,35058000000,14726000000,22223000000,82718000000,258848000000.00,176130000000.00,110360000000.00
Mid-America Apartment Communities Inc,2018,20200000,734292000,51673000,-,231801000,891400000,-,4528328000,222899000,-,395468000,-,305912000,6159254000,11323781000,5164527000,1571346000
Moderna Inc,2018,-,-330865000,1563006000,222803000,-384408000,-386531000,-,33489000,-384734000,211977000,-413266000,454082000,94252000,1530241000,1962149000,431908000,135068000
