Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
Eaton Corp plc,2018,-,11.47,1.47,11.22,14.66,32.85,10.94,8.96,5.37,0.42,7.83,11.15,6.20,9.93,13.73,0.83,2.70,218273,6.73,12.86,12.20,16.42,0.68,0.47
eBay Inc.,2018,13.03,6.99,1.60,25.29,33.13,77.83,13.31,-,-,1.22,11.71,7,6.73,23.54,20.68,1.26,11.96,767571,10.37,35.28,13.23,42.08,0.44,1.47
Ecolab Inc,2018,-,20.19,1.27,12.30,18.05,41.19,8.76,7.70,5.77,0.79,4.94,19.11,3.89,9.74,13.27,0.75,1.47,299351,7.14,18.30,12.98,27.06,0.73,0.88
Edison International,2018,-,-,0.62,-8.60,10.04,35.19,-,0.50,31.31,1.40,-3.59,72.90,0.31,-3.34,-4.36,0.25,-,1006601,-0.77,-3.82,-2.12,0,0.23,1.48
Edwards Lifesciences Corp,2018,-,5.15,2.61,20.45,22.41,74.77,-,11.40,1.62,0.19,26.49,16.30,4.81,19.40,20.10,1.70,16.71,290844,13.11,23.69,19.37,29.24,0.68,0.19
"Electronic Arts, Inc.",2018,5.07,28.02,2.41,28.14,30.52,75.20,-,-,-,0.22,40.92,5.28,11.61,20.25,27.84,2.29,25.63,553763,12.80,24.10,26.96,21.55,0.63,0.22
Emerson Electric Co.,2018,-,16.61,1.07,15.32,20,42.85,17.77,8.89,5.67,0.35,2.23,17.47,5.06,12.66,16.23,0.72,2.50,198949,11.02,24.94,20.87,24.46,0.87,0.53
Enphase Energy Inc.,2018,-,-,1.51,-3.24,2.44,29.87,0.17,4.79,10.49,10.50,22.10,6.18,13.32,-3.68,0.50,1.21,10.31,740419,-4.57,-,2.02,17.75,1.24,14.12
Entergy Corp,2018,-,-,0.54,-1.58,22.80,25.27,0.73,1.80,9.27,1.71,-5.15,66.23,0.36,7.83,4.26,0.29,-,804314,1.82,10,1.80,0,0.23,2
"EOG Resources, Inc.",2018,-,19.38,1.36,24.55,45.85,85.69,18.24,2.53,3.68,0.27,3.92,82.73,0.64,19.79,25.87,0.93,-,6169785,10.72,19.18,18.58,32.59,0.54,0.31
Equifax Inc,2018,1.26,14.03,1.09,10.44,22.73,57.79,4.33,-,-,0.85,1.06,10.69,5.12,8.79,13.13,0.83,-,313037,4.17,9.54,7.71,35.56,0.47,0.85
Equinix Inc,2018,-,15.63,1,8.54,42.74,48.63,1.92,-,-,1.51,0,54.46,0.50,7.20,19.15,0.83,-,641738,1.88,5.19,5.48,28.80,0.26,1.57
Equity Residential,2018,-,0.20,0.26,16.75,63.27,65.88,2.10,-,-,0.87,-1.58,-,-,25.50,33.30,0.23,-,954976,3.21,6.44,4.50,2.09,0.13,0.87
Essex Property Trust Inc,2018,-,-,1.37,23.18,70.11,83.29,2.28,-,-,0.89,0.95,-,-,27.87,32.15,1.34,-,766732,3.14,6.22,3.78,6.04,0.11,0.89
Etsy Inc,2018,21.39,-40.69,6.07,9.12,15.29,68.40,5.66,-,-,0.84,63.01,13.33,5.08,12.84,12.39,5.68,16.11,690724,10.28,19.43,12.36,39.90,0.80,0.85
Everest Re Group Ltd,2018,-,-,-,-3.07,-,-,-,-,-,-,-,-,-,1.40,-,-,-,5213573,0.43,1.27,-,-,0.30,0.08
Evergy Inc,2018,-,9.84,0.59,14.02,33.84,42.60,3.34,2,6.10,0.67,-4.63,74.04,0.30,12.53,21.83,0.25,-,747404,2.88,7.69,7.04,0,0.23,0.85
Eversource Energy,2018,-,21.74,0.56,15.74,31.35,47.04,3.41,0.62,19.41,1.12,-4.76,66.97,0.34,12.23,20.12,0.31,-,1056289,2.77,9.15,5.45,5.59,0.23,1.27
Exelon Corp,2018,-,5.38,1.17,6.20,26.93,27.73,2.48,1.41,15.59,1.12,1.63,64.10,0.48,5.59,10.68,0.63,-,1077944,1.70,6.63,5.79,0,0.30,1.19
Expedia Group Inc,2018,-,14.60,0.64,5.31,15.29,82.49,6,-,-,0.91,-15.88,10.41,6.50,3.62,6.36,0.57,-,458082,2.22,9.41,8.61,58.59,0.61,0.91
"Expeditors International of Washington, Inc.",2018,-,24.26,2.06,10.06,10.48,32.20,-,-,-,-,42.48,15.21,15.81,7.60,9.79,1.88,-,467722,19.22,31.08,40.04,19.55,2.53,-
Extra Space Storage Inc,2018,1.35,2.09,0.40,36.93,68.76,73.47,3.31,-,-,1.96,-1.40,-,-,34.71,49.21,0.23,-,330189,5.43,17.43,8.34,6.79,0.16,1.99
Exxon Mobil Corp,2018,-,30.80,0.84,10.67,17.39,33.55,41.41,5.48,10.73,0.11,-2.65,71.38,1.16,7.18,10.93,0.49,0.38,4087493,6,10.98,13.80,15.65,0.84,0.20
"F5 Networks, Inc.",2018,0.21,24.86,1.49,27.93,30.69,83.28,77.20,1.17,11.97,-,17.78,5.57,16.16,20.99,27.34,1.40,16.94,490226,17.84,36.08,46.99,38.15,0.85,-
Facebook Inc,2018,1.97,12.81,7.19,45.42,50.84,83.25,-,-,-,-,44.65,25.36,2.91,39.60,44.62,6.94,18.40,1569056,24.32,27.91,31.44,20.23,0.61,-
Fastenal Co.,2018,-,23.82,5.30,19.88,22.91,48.32,81.86,38.50,2.16,0.22,56.56,27.84,5.46,15.14,20.11,2,-,229398,24.13,34.18,37.58,28.20,1.59,0.22
Federal Realty Investment Trust (MD),2018,-,-,0.86,26.27,64.88,68.55,3.20,-,-,1.38,-0.59,-,-,26.43,38.20,0.84,-,3021241,3.85,10.49,6.29,3.67,0.15,1.38
FedEx Corp,2018,0.68,-5.03,1.39,6.65,12.16,57.90,9.55,1,47.08,0.79,7.10,53.80,2.42,6.99,7.44,1.22,-,288326,9.06,25.77,14.54,35.44,1.30,0.85
Fidelity National Information Services Inc,2018,-,18.84,1.19,13.11,18.82,33.88,4.91,-,-,0.85,2.56,2.47,14.07,10.04,17.31,0.84,-,179213,3.50,8.04,7.52,15.45,0.35,0.88
"Fifth Third Bancorp (Cincinnati, OH)",2018,-,20.69,-,34.68,-,-,-,-,-,-,-,1.27,4.13,27.51,-,-,-,457246,1.52,13.45,-,-,0.06,0.89
"First Republic Bank (San Francisco, CA)",2018,-,18.82,-,29.42,-,-,-,-,-,-,-,0.34,11.37,23.88,-,-,-,798002,0.91,10.35,-,-,0.04,0.19
FirstEnergy Corp,2018,-,32.41,0.52,13.43,32.85,67.61,2.38,0.63,10.20,2.61,-5.60,74.66,0.38,11.97,22.22,0.20,-,901313,3.28,25.10,9.49,0,0.27,2.86
Fiserv Inc,2018,-,24.31,1.11,26.70,34.40,47.30,7.91,-,-,2.60,1.90,3.53,14.78,20.38,26.21,0.72,-,242625,11.02,47.25,19.22,21.09,0.54,2.60
FleetCor Technologies Inc,2018,1.08,25.73,0.86,45.30,62.05,-,7.88,-,-,0.82,-5.53,1.66,13.29,33.35,44.82,0.74,-,321041,7.21,23.13,14.88,43.54,0.22,1.18
FMC Corp.,2018,-,11.94,1.35,15.73,20.42,44.14,6.62,11,2.53,0.70,10.39,10.35,4.60,10.62,18.62,0.82,6.17,647644,5.24,17.31,15.03,18,0.49,0.87
Ford Motor Co. (DE),2018,2.49,15.40,1.20,2.63,6.34,15.01,6.07,4.37,12.68,2.80,7.44,14.10,4.48,2.29,2,1.04,5.11,805719,1.43,10.38,1.69,7.11,0.62,4.29
Fortinet Inc,2018,-,-32.40,1.77,13.93,15.05,74.99,-,2.92,5.38,-,31.34,8.82,6.97,18.44,12.82,1.67,13.57,308161,12.45,41.54,28.88,48.60,0.68,-
Fortive Corp,2018,-,14.85,1.45,16.71,20.16,51.47,12.15,4.45,5.42,0.45,7.59,4.46,10.02,45.16,18.26,1.08,6.42,268863,24.90,56.11,13.19,26.79,0.55,0.52
"Fortune Brands Home & Security, Inc.",2018,4.25,27.37,1.13,9.79,13.88,35.72,7.99,11.38,5.60,0.83,3.25,13.64,7.06,7.10,10.85,0.55,0.92,216802,6.79,16.31,13.81,22.63,0.96,1.07
Fox Corp,2018,3.86,-2.67,3.17,21.37,23.34,35.93,52.74,8.99,5.83,-,29.12,8.91,8.86,21.54,22.34,2.46,-,1335921,18.64,27.88,28.92,11.91,0.87,-
Franklin Resources Inc,2018,-,67.83,3.71,34.35,35.16,67.72,-,-,-,0.07,39.39,3.72,12.01,12.10,33.53,3.70,-,651454,4.79,6.79,17.40,30.34,0.40,0.07
Freeport-McMoRan Inc,2018,-,25.46,3.22,20.89,35.38,27.82,4.81,11.27,2.70,1.14,17.51,66.35,0.73,13.97,24.40,1.66,0.56,371076,6.54,29.28,21.63,2.38,0.47,1.14
Gallagher (Arthur J.) & Co.,2018,-,-40.99,1.06,6.91,8.76,56.74,62.63,-,-,0.69,2.60,2.67,16.33,9.14,6.91,0.73,-,228378,4.33,14.73,6.25,43.64,0.47,0.80
Garmin Ltd,2018,4.64,15.69,2.89,24.59,25.12,59.14,-,10.44,2.53,-,32.40,12.33,5.33,20.73,23.25,2.12,16.96,258203,13.39,17.48,19.60,18.93,0.65,-
Gartner Inc,2018,-,32.39,0.69,4.56,14.11,63.05,2.09,-,-,2.49,-13.05,4.32,16.25,3.08,6.53,0.54,-,262008,1.82,13.35,7.02,47.39,0.59,2.68
Generac Holdings Inc,2018,1.72,22.46,2,15.37,19.74,35.83,8.72,22.45,2.81,1.15,23.08,11.50,7.95,11.77,17.65,0.97,2.47,357250,10.72,36.10,22.52,14.61,0.91,1.21
General Dynamics Corp,2018,-,17.80,1.23,11.29,14.38,18.55,12.52,13.16,5.23,0.98,7.60,9.58,9.20,9.24,12.31,0.77,1.39,342737,8.32,28.88,22.53,6.24,0.90,1.06
General Electric Co,2018,-,-,1.56,-16.56,-3.92,21.12,-,6.23,4.66,3.07,12.55,16.42,2.32,-18.38,-14.25,1.28,3.40,429735,-6.51,-46.94,-10.32,14.89,0.35,3.49
General Mills Inc,2018,-,2.68,0.56,13.57,19.87,34.48,6.71,5.36,6.60,2.06,-10.51,13.22,4.08,13.54,15.94,0.31,1.39,394591,8.15,40.82,14.07,17.49,0.60,2.58
General Motors Co,2018,2.72,7.42,0.92,4.34,11.76,9.59,-,4.32,12.98,1.88,-3.05,17.05,3.92,5.45,3.02,0.73,5.30,849994,3.64,21.70,3.26,6.56,0.67,2.70
Genuine Parts Co.,2018,1.09,24.65,1.28,5.74,7.57,31.94,10.89,28.46,3.46,0.70,13.21,8.10,19.08,4.33,5.92,0.48,-,374701,6.46,23.62,16.68,24.63,1.49,0.91
Gilead Sciences Inc,2018,2.65,29.99,3.38,35.25,41.14,78.07,7.61,1.28,6.01,1.15,39.62,6.29,6.06,24.65,37.06,3.15,22.68,2011545,8.14,26.08,15.97,18.33,0.33,1.28
Global Payments Inc,2018,-,13.78,1.03,16.70,33.11,67.47,4.21,-,-,1.26,0.81,4.94,5.42,13.43,21.89,0.47,-,306033,3.45,11.61,7.79,45.58,0.26,1.46
Globe Life Inc,2018,-,18.78,-,20.07,-,-,-,-,-,-,-,-,-,16.30,-,-,-,1387412,3.01,12.05,-,-,0.18,0.25
Goldman Sachs Group Inc,2018,-,16.20,-,23.76,-,-,-,-,-,-,-,1.97,3.14,19.91,-,-,-,1435191,1.13,12.13,-,-,0.06,3.03
Grainger (W.W.) Inc.,2018,0.68,23.45,2.37,9.80,11.98,38.75,14.12,26.24,4.63,1.09,35.01,23.02,8.18,6.97,10.32,1.28,-,456138,13.39,43.31,28.34,28.43,1.92,1.16
Halliburton Company,2018,-,8.65,2.32,7.56,16.56,12.44,4.45,11.65,7.75,1.09,24.44,34.49,2.75,6.90,10.28,1.51,1.63,399917,6.49,18.56,12.57,1.06,0.94,1.10
HanesBrands Inc,2018,2.24,14.50,1.73,9.51,14.31,39.04,4.46,28.31,2.11,3.64,20.50,8.38,11.08,8.13,12.76,0.64,0.87,100333,7.84,66.96,18.13,26.29,0.96,4.10
Hartford Financial Services Group Inc.,2018,-,15.29,-,9.25,-,-,-,-,-,-,-,1.61,18.58,9.53,-,-,-,1024595,1.26,13.59,-,-,0.13,0.33
"Hasbro, Inc.",2018,-,18.48,2.42,5.90,11.07,59.59,4.84,8.42,4.22,0.97,34.36,4.87,17.79,4.81,7.23,1.85,5.38,791763,4.19,12.33,9.30,37.72,0.87,0.97
HCA Healthcare Inc,2018,-,17.83,1.35,11.37,19.97,-,3.78,4.42,28.25,-,6.74,50.39,2.48,8.11,14.21,0.96,-,178156,9.99,-,24.51,62.45,1.23,-
Healthpeak Properties Inc,2018,-,-1.69,0.42,57.30,103.06,32.07,1.61,-,-,0.94,-2.03,-,-,57.46,23.25,0.34,-,9187507,7.92,18.87,3.48,5.24,0.14,0.94
Hershey Company (The),2018,6.16,16.95,0.93,18.10,22.85,45.89,11.69,10.19,5.48,2.33,-2.33,27.66,3.68,15.11,20.84,0.49,0.49,474487,17.77,101.77,33.50,24.06,1.18,3.19
Hess Corp,2018,-,152.27,2.02,3.40,38.69,52.43,1.55,1.14,12.90,0.69,10.53,75.04,0.40,-4.36,9.57,1.67,-,3785714,-1.27,-2.73,3.61,7.32,0.29,0.69
Hewlett Packard Enterprise Co,2018,0.63,-758.26,1,0.75,10.94,31.02,3.87,4.41,8.94,0.48,0.13,11.06,4.97,6.18,6.92,0.74,5.39,514200,3.26,8.54,6.03,15.72,0.53,0.57
Hilton Worldwide Holdings Inc,2018,-,28.66,0.76,12.10,16.88,25.28,3.86,-,-,13.19,-4.52,2.62,24.74,8.58,16.08,0.59,-,52698,5.40,58.25,17.35,4.97,0.63,13.22
Hologic Inc,2018,0.84,-,1.23,-13.01,6.34,52.73,-,5.31,3.36,1.12,4.43,6.61,6.66,-3.46,-7.39,0.88,6.80,516113,-1.47,-4.28,-4.01,28.30,0.42,1.37
Home Depot Inc,2018,0.95,37,1.17,13.58,16.59,34.05,14.93,28.63,5.26,16.69,6.15,49.57,4.60,8.55,14.55,0.34,-,244991,19.78,299.07,52.19,17.70,2.31,18.59
Honeywell International Inc,2018,-,8.86,1.29,17.79,19.87,30.52,44.70,7.49,6.50,0.54,9.41,9.17,7.45,16.18,16.04,0.97,4.33,366684,11.55,38.15,19.28,14.48,0.71,0.89
Hormel Foods Corp.,2018,1.59,15.03,1.80,11.76,13.77,20.90,64.63,11.83,8.01,0.11,11.19,18.58,7.05,10.60,11.94,0.92,0.35,476215,13.43,19.26,20.03,8.78,1.27,0.11
Horton (DR) Inc,2018,0.27,29.05,9.50,12.80,13.17,22.84,266.31,73.65,1.26,0.36,76.54,2.84,44.26,9.09,12.69,1.26,-,1904468,11.11,17.46,17.88,10.44,1.22,0.36
Host Hotels & Resorts Inc,2018,-,11.80,5.26,23.01,43.14,28.44,3.29,-,-,0.51,10.33,-,-,19.68,9.59,5.21,-,30021739,9.14,15.03,4.76,-,0.46,0.51
Howmet Aerospace Inc,2018,-,26.04,1.87,6.19,12.84,18.67,3.73,13.33,4.58,1.06,16.38,30.51,2.48,4.58,9.45,1.07,0.73,325907,3.43,12.25,11.20,4.31,0.75,1.14
HP Inc,2018,0.97,-76.80,0.85,5.15,6.59,18.25,13.03,17.51,8.07,-,-10.81,6.35,28.69,9.11,6.95,0.52,2.40,1063127,15.78,-,83.29,8.32,1.73,-
Humana Inc.,2018,-,18.95,-,3.62,-,-,-,-,-,-,-,6.83,34.29,2.96,-,-,-,1305321,6.40,16.83,-,-,2.16,0.55
"Hunt (J.B.) Transport Services, Inc.",2018,-,23.60,1.11,7.44,8.01,43.20,16.94,0.43,229.39,0.43,2.96,67.66,2.68,5.68,7.91,0.98,-,311896,10.25,24.85,22.06,26.71,1.80,0.55
Huntington Bancshares Inc,2018,-,14.43,-,30.89,-,-,-,-,-,-,-,0.73,6.37,26.43,-,-,-,335819,1.31,12.71,-,-,0.05,0.78
"Huntington Ingalls Industries, Inc.",2018,-,13.90,0.95,11.88,15.07,21.91,16.40,2.01,41.06,0.85,-1.32,39.43,3.46,10.23,11.63,0.26,-,204400,13.11,51.07,32.59,10.65,1.28,0.85
IDEX Corporation,2018,0.68,22.38,3,21.30,24.62,45.01,12.89,8.06,5.06,0.43,20.95,8.10,9.21,16.53,22.91,2.11,1.93,337822,11.95,21.16,20.36,21.61,0.72,0.43
"Idexx Laboratories, Inc.",2018,0.08,17.63,0.85,20.68,25.55,56.10,14.63,11.27,5.76,-,-7.56,28.44,5.42,17.04,22.20,0.47,5.33,264205,23.20,-,44.71,28.57,1.36,-
IHS Markit Ltd,2018,1.49,-27.20,0.47,10.58,20.50,62.69,2.91,-,-,0.61,-7.60,3.61,7.22,13.53,16.14,0.39,-,269074,3.54,6.77,5,29.61,0.26,0.71
"Illinois Tool Works, Inc.",2018,0.34,24.48,1.63,22.98,27.61,41.74,16.14,8.86,6.78,1.85,15.04,12.04,8.28,17.36,24.27,1.16,1.58,307667,16.20,65.39,30.44,16.19,0.93,2.27
Illumina Inc,2018,1.14,12.53,2.49,26.82,32.58,69.01,67.92,5.55,2.78,0.24,38.60,15.45,3.33,24.78,26.49,2.23,18.69,457830,13.56,25.46,18.26,23.82,0.55,0.53
Incyte Corporation,2018,-,5.08,4.31,6.13,7.93,95,83.75,0.26,14,0.01,53.18,12.09,6.49,5.82,6.87,4.11,63.66,1376652,4.43,6.16,7.18,23.08,0.76,0.01
Ingersoll Rand Inc,2018,-,22.92,2.23,12.99,23.40,37.64,4.45,11.68,3.29,0.99,16.38,7.95,7.47,10.02,16.47,1.24,0.89,401463,5.92,17.09,12.91,16.16,0.59,1
Intel Corp,2018,1.69,9.71,1.73,32.91,45.56,61.73,-,5.67,3.81,0.33,9.50,38.27,1.58,29.72,32.91,1.11,19.12,661477,16.81,29.15,23.61,9.53,0.57,0.35
Intercontinental Exchange Inc,2018,-,19.84,1.01,40.15,48.36,79.33,11.64,-,-,0.38,0.63,1.34,5.05,31.68,41.16,0.03,-,1216043,2.32,11.65,10.84,28.30,0.07,0.43
International Business Machines Corp,2018,1.84,23.09,1.29,14.25,20.46,46.41,26.56,1.36,26.13,2.12,8.85,8.75,7.27,10.97,15.32,1.12,6.76,227014,7.02,50.76,19.20,22.95,0.64,2.73
International Flavors & Fragrances Inc.,2018,-,24.11,2.61,11.26,18.74,42.31,4.40,8.37,2.66,0.75,14.07,9.63,3.75,8.48,14.65,1.39,7.83,305965,3.86,8.74,8.38,17.79,0.45,0.75
International Paper Co,2018,-,24.99,1.49,7.64,15.09,33.26,5.47,6.67,6.83,1.36,6.86,38.92,1.77,8.63,12.58,0.87,-,439736,5.96,28.98,16.43,14.12,0.69,1.45
Interpublic Group of Companies Inc.,2018,-,23.77,1.01,8.63,11.37,14.19,9.97,-,-,1.53,0.38,5.06,13.48,6.37,10.38,0.95,-,179896,4.37,26.94,20.80,1.71,0.69,1.56
Intuit Inc,2018,10.31,19.43,1.14,25.20,29.34,83.62,-,-,-,0.16,5.56,15.68,6.48,20.31,25.10,0.86,19.89,670112,26.20,65.32,64.61,38.53,1.29,0.19
Intuitive Surgical Inc,2018,-,12.08,5.28,34.36,35.43,69.92,-,5.21,3.45,-,44.77,10.35,5.23,30.29,32.21,4.56,11.23,673819,16.58,19.78,21.03,26.49,0.55,-
Invesco Ltd,2018,0.66,23.09,12.07,20.78,24.59,-,13.36,-,-,0.89,61.95,1.51,11.08,16.61,22.67,5.50,-,712441,2.82,10.22,7.58,44.49,0.17,0.89
IPG Photonics Corp,2018,-,24.37,7.35,36.61,40.66,54.82,-,15.68,1.85,0.02,60.58,21.09,2.91,27.68,35.85,5.29,8.41,225812,16.35,19.11,24.22,10.98,0.59,0.02
IQVIA Holdings Inc,2018,-,17.99,1.10,3.15,8.25,35.21,1.83,-,-,1.62,1.51,1.92,23.83,2.49,7.12,0.94,-,179517,1.14,3.49,4.11,16.48,0.46,1.64
Iron Mountain Inc (New),2018,-,10.13,0.83,8.47,28.87,57.37,1.82,-,-,4.25,-2.15,37.88,1.07,8.60,17.65,0.69,-,162529,3.18,17.38,7.70,24.59,0.37,4.32
"Jack Henry & Associates, Inc.",2018,-,3.67,0.96,25.45,28.66,43.14,290.32,-,-,-,-0.94,13.99,5.39,24.51,25.41,0.65,5.88,242864,19.03,32.77,33.25,11.85,0.78,-
"Jacobs Engineering Group, Inc.",2018,-,68.79,1.45,3.70,5.48,18.88,9.56,-,-,0.37,11.16,3.62,37.21,1.09,4.32,1.38,-,185963,1.64,3.19,10.25,14.55,1.50,0.37
Johnson & Johnson,2018,3.19,15.01,1.47,22.06,25.73,66.79,50.25,5.62,3.12,0.46,9.68,11.14,4.81,18.75,24.27,1.08,14.59,605515,9.89,25.58,21.47,27.63,0.53,0.51
Johnson Controls International plc,2018,-,17.86,1.05,9.24,13.99,29.87,7.62,6.61,6.85,0.46,1.17,12.65,5.11,6.89,9.89,0.65,-,257377,4.29,10.39,9.39,19.14,0.62,0.52
JPMorgan Chase & Co,2018,-,20.34,-,31.02,-,-,-,-,-,-,-,0.57,9.03,24.71,-,-,-,513118,1.26,12.68,-,-,0.05,1.01
Juniper Networks Inc,2018,0.43,-6.42,2.49,11.46,16.28,58.98,18.76,-,-,0.37,29.26,10.16,4.71,12.20,12.31,2.34,21.59,500646,5.91,11.93,8.31,24.93,0.48,0.44
Kansas City Southern,2018,-,29.12,1.42,32.58,49.41,66.72,8.97,1.69,5.81,0.56,1.99,91.78,0.32,23.12,36.34,0.88,-,376944,6.72,13.40,13.45,18.26,0.29,0.56
Kellogg Co,2018,5.55,13.62,0.70,9.81,15.74,34.89,5.94,7.48,6.93,3.16,-7.72,20.98,3.65,9.86,12.59,0.37,1.14,399536,7.85,55.67,15.33,22.29,0.80,3.42
KeyCorp,2018,-,15.62,-,29.80,-,-,-,-,-,-,-,0.63,8.16,25.24,-,-,-,406656,1.35,12.19,-,-,0.05,0.81
Keysight Technologies Inc,2018,0.54,-,1.63,-10.60,-6.11,54.72,-,10.63,2.91,0.53,15.73,9.53,7.15,4.25,-8.92,1.05,15.65,300620,2.81,6.96,-8.06,30.56,0.66,0.74
Kimberly-Clark Corp.,2018,3.54,25.98,0.77,9.81,15.95,30.28,8.81,12.49,7.15,-,-10.30,49.31,2.53,7.63,12.06,0.41,1.71,450878,9.50,603.85,29.05,18.21,1.25,-
Kimco Realty Corp,2018,-,0.40,1.11,34.29,76.67,-,3.18,-,-,0.91,0.30,-,-,42.74,50,1.11,-,-,4.37,9.28,5.53,7.54,0.10,0.91
Kinder Morgan Inc.,2018,-,36.26,0.76,11.45,39.54,50.91,1.98,0.49,17.16,1.01,-2.33,48.05,0.36,11.38,26.82,0.63,-,1284417,2.04,4.78,5.33,4.25,0.18,1.11
KLA Corp,2018,-,44.90,3.73,36.07,39.31,64.14,19.83,16.58,1.74,1.38,59.28,5.09,14.16,19.87,38.08,2.90,15.08,616290,14.39,54.45,37.89,10.98,0.72,1.38
Kraft Heinz Co (The),2018,2.22,-,1.21,-43.10,-35.76,33.96,-,2.58,6.33,0.60,1.52,6.84,3.71,-38.80,-38.91,0.43,0.41,693162,-9.14,-17.37,-11.36,12.20,0.24,0.60
Kroger Co (The),2018,0.58,-27.29,0.78,1.21,3.69,22.01,3.47,17.56,14.61,1.74,-8.28,56.65,5.73,1.55,1.70,0.14,-,268771,5.09,27.53,9.48,18.33,3.27,2.25
L3Harris Technologies Inc,2018,-,22.14,1.24,14.98,20.01,36.41,6.68,9.40,4.45,1.03,4.42,9.15,6.87,11.61,18.15,0.57,5.03,354228,7.23,23.04,15.99,18.26,0.62,1.14
Laboratory Corporation of America Holdings,2018,-,30.59,1.51,11.09,15.99,28.03,5.43,1.47,35.09,0.87,5.91,11.03,6.41,7.80,11.70,1,-,185793,5.40,12.81,9.96,13.86,0.69,0.87
Lam Research Corp,2018,-,24.47,2.90,28.45,30.05,46.63,277.63,15.03,3.80,0.27,48.08,7.23,13.99,21.49,29.01,2.26,10.74,1019030,19.41,35.19,34.50,6.88,0.90,0.37
Lamb Weston Holdings Inc,2018,0.92,25.72,1.79,13.77,20.92,25.69,5.33,19.97,4.73,-,14.96,51.62,2.55,12.17,16.94,0.53,0.39,476820,15.96,-,30.39,8.74,1.31,-
Las Vegas Sands Corp,2018,0.96,11.27,1.76,24.23,35.61,49.20,10.08,0.16,170.10,2.09,10.68,67.21,0.90,17.58,28.41,1.70,0.09,266583,11.16,39.63,23.08,12.27,0.64,2.11
"Lauder (Estee) Cos., Inc. (The)",2018,24.02,43.59,1.86,14.47,18.42,79.22,28.50,12.87,1.84,0.72,22.74,14.51,7.83,8.10,15,1.27,1.32,297457,9.18,24.43,25.35,62.53,1.13,0.76
"Leggett & Platt, Inc.",2018,-,20.37,1.87,9,13.16,20.82,8.29,18.74,5.61,1.01,20.96,21.54,6.13,7.16,10.19,1,-,194068,8.82,26.07,18.25,9.96,1.23,1.01
Leidos Holdings Inc,2018,-,4.73,1.38,5.81,7.70,14.75,5.30,-,-,0.92,8.89,2.70,43.59,5.70,7.17,1.07,0.45,319438,6.56,17.45,11.35,7.15,1.15,0.94
Lennar Corp,2018,0.35,23.94,16.62,11.07,11.40,11.35,240.03,59.75,1.31,0.59,63.15,-,-,8.24,8.93,1.81,-,1769450,7.17,15.11,9.82,1.67,0.87,0.59
Lilly (Eli) & Co,2018,-,14.85,1.73,15.46,19.49,73.81,33.07,9.36,1.50,1.18,19.73,20.31,2.77,13.16,14.92,1.20,29.69,634842,7.27,30.18,15.32,27.01,0.55,1.30
Lincoln National Corp.,2018,-,12.94,-,11.48,-,-,-,-,-,-,-,-,-,9.99,-,-,-,1488490,0.57,10.36,-,-,0.06,0.41
Linde plc,2018,-,16.18,1.33,33.89,47.52,39.03,9.64,1.77,8.02,0.24,4.62,31.82,0.71,29.40,13.07,0.68,0.76,184360,7.70,15.21,4.75,10.98,0.26,0.30
Live Nation Entertainment Inc,2018,4.39,31.76,1.03,1.19,4.11,26.14,2.18,0.15,530.45,2.49,1.16,11.14,11.77,0.56,2.62,0.86,-,1135558,0.75,5.28,7.65,19.93,1.35,2.56
LKQ Corp,2018,-,25.74,2.67,6.26,8.60,38.52,6.31,24.89,2.80,0.88,24.84,10.71,11.13,4.04,7.43,0.87,-,232876,4.63,10.69,10.57,28.23,1.14,0.90
Lockheed Martin Corp,2018,-,13.57,1.12,10.86,14.26,13.53,10.98,6.68,12.42,9.04,3.80,13.65,9.04,9.39,13.64,0.22,2.42,512019,11.04,1419.41,50.44,-,1.18,10.12
Loews Corp.,2018,-,15.35,-,5.93,-,-,-,-,-,-,-,19.81,0.91,4.52,-,-,-,785810,0.81,3.37,-,-,0.18,0.61
Lowe's Companies Inc,2018,1.41,37.20,1.06,8,10.96,34.11,10.40,32.28,4.14,2.65,1.92,55.88,3.47,5.02,9.60,0.06,-,221960,9.92,56.17,29.35,22.41,1.97,2.89
Lumen Technologies Inc,2018,0.42,-,0.69,-6.67,16.86,53.67,0.26,-,-,1.79,-2.44,37.59,0.88,-7.39,2.43,0.52,-,520956,-2.38,-8,0.97,17.77,0.32,1.82
LyondellBasell Industries NV,2018,-,12.21,1.92,12.88,16.90,16.60,16.61,15.97,7.45,0.82,17.87,44.12,3.32,12.02,13.41,0.97,0.29,2005347,17.22,48.55,28.03,2.89,1.43,0.90
M & T Bank Corp,2018,-,23.53,-,38.86,-,-,-,-,-,-,-,0.54,9.98,29.72,-,-,-,373818,1.61,12.10,-,-,0.05,0.51
